id,Nombre,Seleccion
363,miiko albornoz,CHI
364,pablo contreras,CHI
365,rodrigo millar,CHI
366,rodrigo tello,CHI
367,waldo ponce,CHI
368,abel aguilar,COL
369,adrian ramos,COL
370,alexander mejia,COL
371,camilo vargas,COL
372,camilo zuñiga,COL
373,carlos bacca,COL
374,carlos carbonero,COL
375,carlos sanchez,COL
376,carlos valdes,COL
377,cristian zapata,COL
378,david ospina,COL
379,davinson sanchez,COL
380,eder alvarez balanta,COL
381,farid diaz,COL
382,faryd mondragon,COL
383,freddy guarin,COL
384,jackson martinez,COL
385,james rodriguez,COL
386,jefferson lerma,COL
387,johan mojica,COL
388,jose fernando cuadrado,COL
389,jose izquierdo,COL
390,jose pekerman,COL
391,juan fernando quintero,COL
392,juan guillermo cuadrado,COL
393,luis muriel,COL
394,mario alberto yepes,COL
395,mateus uribe,COL
396,miguel borja,COL
397,oscar murillo,COL
398,pablo armero,COL
399,radamel falcao,COL
400,santiago arias,COL
401,teofilo gutierrez,COL
402,victor ibarbo,COL
403,wilmar barrios,COL
404,yerry mina,COL
405,bryan oviedo,CRC
406,bryan ruiz,CRC
407,celso borges,CRC
408,christian bolaños,CRC
409,cristian gamboa,CRC
410,daniel cambronero,CRC
411,daniel colindres,CRC
412,dave myrie1,CRC
413,david guzman,CRC
414,diego calvo,CRC
415,francisco calvo,CRC
416,giancarlo gonzalez,CRC
417,ian smith,CRC
418,joel campbell,CRC
419,johan venegas,CRC
420,johnny acosta,CRC
421,jorge luis pinto,CRC
422,jose miguel cubero,CRC
423,junior diaz,CRC
424,kendall waston,CRC
425,kenner gutierrez,CRC
426,keylor navas,CRC
427,leonel moreira,CRC
428,marco ureña,CRC
429,michael barrantes,CRC
430,michael umaña,CRC
431,oscar duarte,CRC
432,oscar esteban granados,CRC
433,oscar ramirez,CRC
434,patrick pemberton,CRC
435,randall azofeifa,CRC
436,randall brenes,CRC
437,rodney wallace,CRC
438,roy miller,CRC
439,waylon francis,CRC
440,yeltsin tejeda,CRC
441,andrej kramarić,CRO
442,ante rebić,CRO
443,danijel pranjić,CRO
444,danijel subašić,CRO
445,darijo srna,CRO
446,dejan lovren,CRO
447,domagoj vida,CRO
448,dominik livaković,CRO
449,duje ćaleta-car,CRO
450,eduardo,CRO
451,filip bradarić,CRO
452,gordon schildenfeld,CRO
453,ivan perišić,CRO
454,ivan rakitić,CRO
455,ivan strinić,CRO
456,ivica olić,CRO
457,josip pivarić,CRO
458,lovre kalinić,CRO
459,luka modrić,CRO
460,marcelo brozović,CRO
461,mario mandžukić,CRO
462,marko pjaca,CRO
463,mateo kovačić,CRO
464,milan badelj,CRO
465,nikica jelavić,CRO
466,niko kovač,CRO
467,nikola kalinić,CRO
468,ognjen vukojević,CRO
469,oliver zelenika,CRO
470,sammir,CRO
471,stipe pletikosa,CRO
472,tin jedvaj,CRO
473,vedran ćorluka,CRO
474,zlatko dalić,CRO
475,šime vrsaljko,CRO
476,andreas christensen,DEN
477,andreas cornelius,DEN
478,christian eriksen,DEN
479,christian poulsen,DEN
480,daniel agger,DEN
481,daniel jensen,DEN
482,dennis rommedahl,DEN
483,frederik rønnow,DEN
484,henrik dalsgaard,DEN
485,jakob poulsen,DEN
486,jannik vestergaard,DEN
487,jens stryger larsen,DEN
488,jesper christiansen,DEN
489,jesper grønkjær,DEN
490,jon dahl tomasson,DEN
491,jonas knudsen,DEN
492,jonas lossl,DEN
493,kasper dolberg,DEN
494,kasper schmeichel,DEN
495,lars jacobsen,DEN
496,lasse schone,DEN
497,lukas lerager,DEN
498,martin braithwaite,DEN
499,martin jorgensen,DEN
500,mathias jørgensen,DEN
501,michael krohn-dehli,DEN
502,mikkel beckmann,DEN
503,morten olsen,DEN
504,nicklas bendtner,DEN
505,nicolai jørgensen,DEN
506,patrick mtiliga,DEN
507,per krøldrup,DEN
508,pione sisto,DEN
509,simon kjær,DEN
510,simon poulsen,DEN
511,stephan andersen,DEN
512,søren larsen,DEN
513,thomas delaney,DEN
514,thomas enevoldsen,DEN
515,thomas kahlenberg,DEN
516,thomas sørensen,DEN
517,viktor fischer,DEN
518,william kvist,DEN
519,yussuf poulsen,DEN
520,åge hareide,DEN
521,adrian bone,ECU
522,alexander dominguez,ECU
523,antonio valencia,ECU
524,carlos gruezo,ECU
525,christian noboa,ECU
526,edison mendez,ECU
527,enner valencia,ECU
528,felipe caicedo,ECU
529,fidel martinez,ECU
530,frickson erazo,ECU
531,gabriel achilier,ECU
532,jaime ayovi,ECU
533,jefferson montero,ECU
534,joao rojas,ECU
535,jorge guagua,ECU
536,juan carlos paredes,ECU
537,luis fernando saritama,ECU
538,maximo banguera,ECU
539,michael arroyo,ECU
540,oscar bagui,ECU
541,oswaldo minda1,ECU
542,reinaldo rueda,ECU
543,renato ibarra,ECU
544,walter ayovi,ECU
