id jugador,jugador,goles,partidos,promedio,seleccion,year
1731,ludwig augustinsson,1,5,0.2,SUE,2018
273,luis fabiano,3,5,0.6,BRA,2010
1841,luis suarez,3,6,0.5,URU,2010
1841,luis suarez,2,2,1,URU,2014
1841,luis suarez,2,5,0.4,URU,2018
459,luka modrić,2,7,0.3,CRO,2018
711,lukas podolski,2,6,0.3,GER,2010
1468,m'baye niang,1,3,0.3,SEN,2018
277,maicon,1,5,0.2,BRA,2010
714,marcell jansen,1,4,0.2,GER,2010
715,marco reus,1,3,0.3,GER,2018
428,marco ureña,1,4,0.2,CRC,2014
101,marcos rojo,1,6,0.2,ARG,2014
101,marcos rojo,1,3,0.3,ARG,2018
954,mario balotelli,1,3,0.3,ITA,2014
1444,mario fernandes,1,5,0.2,RUS,2018
717,mario gotze,2,6,0.3,GER,2014
461,mario mandžukić,2,2,1,CRO,2014
461,mario mandžukić,3,6,0.5,CRO,2018
358,mark gonzalez,1,4,0.2,CHI,2010
1697,marko pantelić,1,2,0.5,SRB,2010
195,marouane fellaini,1,5,0.2,BEL,2014
195,marouane fellaini,1,5,0.2,BEL,2018
104,martin demichelis,1,5,0.2,ARG,2010
105,martin palermo,1,1,1,ARG,2010
500,mathias jørgensen,1,3,0.3,DEN,2018
664,mathieu valbuena,1,4,0.2,FRA,2014
720,mats hummels,2,6,0.3,GER,2014
613,matthew upson,1,2,0.5,ENG,2010
1848,maximiliano pereira,1,7,0.1,URU,2010
1179,memphis depay,2,4,0.5,NED,2014
722,mesut ozil,1,7,0.1,GER,2010
722,mesut ozil,1,7,0.1,GER,2014
1888,michael bradley,1,4,0.2,USA,2010
196,michy batshuayi,1,3,0.3,BEL,2018
464,milan badelj,1,3,0.3,CRO,2018
1698,milan jovanović,1,3,0.3,SRB,2010
164,mile jedinak,1,3,0.3,AUS,2014
164,mile jedinak,2,3,0.7,AUS,2018
225,miralem pjanić,1,3,0.3,BOS,2014
723,miroslav klose,4,5,0.8,GER,2010
723,miroslav klose,2,5,0.4,GER,2014
560,mohamed salah,2,2,1,EGT,2018
667,moussa sissoko,1,4,0.2,FRA,2014
1472,moussa wague,1,3,0.3,SEN,2018
198,nacer chadli,1,6,0.2,BEL,2018
1661,nacho monreal,1,2,0.5,SPA,2018
1407,nani,1,3,0.3,POR,2014
282,neymar jr,4,5,0.8,BRA,2014
282,neymar jr,2,5,0.4,BRA,2018
504,nicklas bendtner,1,3,0.3,DEN,2010
1736,ola toivonen,1,5,0.2,SUE,2018
671,olivier giroud,1,5,0.2,FRA,2014
1144,oribe peralta,1,4,0.2,MEX,2014
284,oscar,2,7,0.3,BRA,2014
431,oscar duarte,1,4,0.2,CRC,2014
398,pablo armero,1,5,0.2,COL,2014
1342,paolo guerrero,1,3,0.3,PER,2018
1622,park chu-young,1,4,0.2,SOK,2010
1623,park ji-sung,1,4,0.2,SOK,2010
674,paul pogba,1,5,0.2,FRA,2014
674,paul pogba,1,6,0.2,FRA,2018
285,paulinho,1,5,0.2,BRA,2018
1412,pepe,1,4,0.2,POR,2018
1238,peter odemwingie,1,4,0.2,NGR,2014
287,philippe coutinho,2,5,0.4,BRA,2018
399,radamel falcao,1,4,0.2,COL,2018
1148,rafael marquez,1,4,0.2,MEX,2010
1148,rafael marquez,1,4,0.2,MEX,2014
32,rafik halliche,1,4,0.2,ALG,2014
676,raphael varane,1,7,0.1,FRA,2018
1415,raul meireles,1,4,0.2,POR,2010
289,renato augusto,1,3,0.3,BRA,2018
892,reza ghoochannejhad,1,3,0.3,IRA,2014
