no partido,jugador,tiempo,extra,tipo de gol,seleccion
58,fernandinho,13,,AG,BRA
69,fernandinho,84,,,BRA
69,fred,49,,,BRA
182,juan,35,,,BRA
167,luis fabiano,25,,,BRA
167,luis fabiano,50,,,BRA
182,luis fabiano,38,,,BRA
166,maicon,25,,,BRA
65,marcelo,11,,AG,BRA
27,neymar jr,90,7,,BRA
53,neymar jr,51,,,BRA
65,neymar jr,29,,,BRA
65,neymar jr,71,,,BRA
69,neymar jr,17,,,BRA
69,neymar jr,34,,,BRA
65,oscar,90,1,,BRA
125,oscar,90,,,BRA
29,paulinho,36,,,BRA
26,philippe coutinho,20,,,BRA
27,philippe coutinho,90,1,,BRA
53,roberto firmino,88,,,BRA
182,robinho,59,,,BRA
185,robinho,10,,,BRA
29,thiago silva,68,,,BRA
122,thiago silva,7,,,BRA
69,joel matip,26,,,CAM
72,alexis sanchez,12,,,CHI
113,alexis sanchez,32,,,CHI
74,charles aranguiz,43,,,CHI
74,eduardo vargas,20,,,CHI
72,jean beausejour,90,2,,CHI
171,jean beausejour,34,,,CHI
72,jorge valdivia,14,,,CHI
173,mark gonzalez,75,,,CHI
175,rodrigo millar,47,,,CHI
82,jackson martinez,55,,,COL
82,jackson martinez,82,,,COL
46,juan guillermo cuadrado,75,,,COL
82,juan guillermo cuadrado,17,,,COL
77,pablo armero,5,,,COL
46,radamel falcao,70,,,COL
77,teofilo gutierrez,58,,,COL
46,yerry mina,40,,,COL
48,yerry mina,74,,,COL
56,yerry mina,90,3,,COL
86,bryan ruiz,44,,,CRC
116,bryan ruiz,52,,,CRC
83,joel campbell,54,,,CRC
30,kendall waston,56,,,CRC
83,marco ureña,84,,,CRC
83,oscar duarte,57,,,CRC
60,domagoj vida,101,,,CRO
23,milan badelj,53,,,CRO
15,christian eriksen,7,,,DEN
153,daniel agger,46,,AG,DEN
156,dennis rommedahl,61,,,DEN
158,jon dahl tomasson,81,,,DEN
156,nicklas bendtner,33,,,DEN
14,yussuf poulsen,59,,,DEN
89,enner valencia,22,,,ECU
92,enner valencia,34,,,ECU
92,enner valencia,65,,,ECU
3,ahmed fathy,47,,AG,EGT
3,mohamed salah,73,,,EGT
5,mohamed salah,22,,,EGT
84,daniel sturridge,37,,,ENG
59,dele alli,59,,,ENG
38,harry kane,11,,,ENG
38,harry kane,90,1,,ENG
40,harry kane,22,,,ENG
40,harry kane,45,1,,ENG
40,harry kane,62,,,ENG
56,harry kane,57,,,ENG
59,harry maguire,30,,,ENG
145,jermain defoe,23,,,ENG
40,jesse lingard,36,,,ENG
40,john stones,8,,,ENG
40,john stones,40,,,ENG
62,kieran trippier,5,,,ENG
141,steven gerrard,4,,,ENG
85,wayne rooney,75,,,ENG
13,antoine griezmann,58,,,FRA
49,antoine griezmann,13,,,FRA
57,antoine griezmann,61,,,FRA
64,antoine griezmann,38,,,FRA
49,benjamin pavard,57,,,FRA
91,blaise matuidi,18,,,FRA
133,florent malouda,70,,,FRA
90,karim benzema,45,,,FRA
90,karim benzema,72,,,FRA
91,karim benzema,67,,,FRA
16,kylian mbappe,34,,,FRA
49,kylian mbappe,64,,,FRA
49,kylian mbappe,68,,,FRA
64,kylian mbappe,65,,,FRA
91,mathieu valbuena,40,,,FRA
91,moussa sissoko,73,,,FRA
91,olivier giroud,17,,,FRA
64,paul pogba,59,,,FRA
118,paul pogba,79,,,FRA
61,samuel umtiti,51,,,FRA
117,andre schurrle,92,,,GER
125,andre schurrle,69,,,GER
125,andre schurrle,79,,,GER
148,cacau,70,,,GER
148,lukas podolski,8,,,GER
179,lukas podolski,32,,,GER
191,marcell jansen,56,,,GER
34,marco reus,48,,,GER
103,mario gotze,51,,,GER
128,mario gotze,113,,,GER
101,mats hummels,32,,,GER
121,mats hummels,13,,,GER
117,mesut ozil,120,2,,GER
152,mesut ozil,60,,,GER
103,miroslav klose,71,,,GER
125,miroslav klose,23,,,GER
148,miroslav klose,26,,,GER
179,miroslav klose,20,,,GER
187,miroslav klose,68,,,GER
187,miroslav klose,89,,,GER
125,sami khedira,29,,,GER
191,sami khedira,82,,,GER
101,thomas muller,12,,,GER
101,thomas muller,45,1,,GER
101,thomas muller,78,,,GER
106,thomas muller,55,,,GER
125,thomas muller,11,,,GER
148,thomas muller,68,,,GER
179,thomas muller,67,,,GER
179,thomas muller,70,,,GER
187,thomas muller,3,,,GER
191,thomas muller,19,,,GER
34,toni kroos,90,5,,GER
125,toni kroos,24,,,GER
125,toni kroos,26,,,GER
102,andre ayew,82,,,GHA
103,andre ayew,54,,,GHA
103,asamoah gyan,63,,,GHA
105,asamoah gyan,57,,,GHA
147,asamoah gyan,85,,,GHA
150,asamoah gyan,25,,,GHA
178,asamoah gyan,93,,,GHA
105,john boye,31,,ag,GHA
178,kevin prince boateng,5,,,GHA
81,andreas samaris,42,,,GRE
81,georgios samaras,90,3,,GRE
116,sokratis papastathopoulos,90,1,,GRE
92,carlo costly,31,,,HON
90,noel valladares,48,,AG,HON
99,reza ghoochannejhad,82,,,IRA
164,antonio di natale,81,,,ITA
84,claudio marchisio,35,,,ITA
159,daniele de rossi,63,,,ITA
164,fabio quagliarella,90,2,,ITA
84,mario balotelli,50,,,ITA
167,didier drogba,79,,,IVC
78,gervinho,66,,,IVC
79,gervinho,73,,,IVC
169,romaric,20,,,IVC
169,salomon kalou,82,,,IVC
78,wilfried bony,64,,,IVC
81,wilfried bony,74,,,IVC
169,yaya toure,14,,,IVC
54,genki haraguchi,48,,,JAP
45,keisuke honda,78,,,JAP
78,keisuke honda,16,,,JAP
154,keisuke honda,39,,,JAP
158,keisuke honda,17,,,JAP
43,shinji kagawa,6,,,JAP
82,shinji okazaki,45,1,,JAP
