No. partido,Seleccion,Jugador,Tiempo,extra,tipo
140,SOK,Jung Soo Lee,38,,
138,NGR,Kalu Uche,16,,
140,NGR,Kalu Uche,12,,
164,SLK,Kamil Kopunek,89,,
11,MAR,Karim Ansarifard,90,3,
90,FRA,Karim Benzema,45,,
90,FRA,Karim Benzema,72,,
91,FRA,Karim Benzema,67,,
133,SOA,Katlego Mphela,37,,
45,JAP,Keisuke Honda,78,,
78,JAP,Keisuke Honda,16,,
154,JAP,Keisuke Honda,39,,
158,JAP,Keisuke Honda,17,,
30,CRC,Kendall Waston,56,,
108,SOK,Keun-Ho Lee,68,,
58,BEL,Kevin De Bruyne,31,,
120,BEL,Kevin De Bruyne,93,,
178,GHA,Kevin Prince Boateng,5,,
12,MAR,Khalid Boutaib,14,,
62,ENG,Kieran Trippier,5,,
115,NED,Klaas Jan Huntelaar,90,4,
157,NED,klaas Jan Huntelaar,83,,
16,FRA,Kylian Mbappe,34,,
49,FRA,Kylian Mbappe,64,,
49,FRA,Kylian Mbappe,68,,
64,FRA,Kylian Mbappe,65,,
143,USA,Landon Donovan,48,,
146,USA,Landon Donovan,90,1,
178,USA,Landon Donovan,62,,
76,NED,Leroy Fer,77,,
168,POR,Liedson,81,,
24,ARG,Lionel Messi,14,,
95,ARG,Lionel Messi,65,,
97,ARG,Lionel Messi,90,1,
100,ARG,Lionel Messi,3,,
100,ARG,Lionel Messi,45,1,
35,SUE,Ludwig Augustinsson,50,,
167,BRA,Luis Fabiano,25,,
167,BRA,Luis Fabiano,50,,
182,BRA,Luis Fabiano,38,,
4,URU,Luis Suarez,23,,
6,URU,Luis Suarez,10,,
85,URU,Luis Suarez,39,,
85,URU,Luis Suarez,85,,
134,URU,Luis Suarez,43,,
177,URU,Luis Suarez,8,,
177,URU,Luis Suarez,80,,
20,CRO,Luka Modric,71,,
21,CRO,Luka Modric,80,,
148,GER,Lukas Podolski,8,,
179,GER,Lukas Podolski,32,,
44,SEN,M'baye Niang,60,,
