jugador,goles,partidos,promedio,seleccion,year
robinho,2,4,0.5,BRA,2010
thiago silva,1,6,0.17,BRA,2014
thiago silva,1,5,0.2,BRA,2018
joel matip,1,2,0.5,CAM,2014
samuel eto'o,2,3,0.67,CAM,2010
alexis sanchez,2,4,0.5,CHI,2014
charles aranguiz,1,4,0.25,CHI,2014
eduardo vargas,1,4,0.25,CHI,2014
jean beausejour,1,4,0.25,CHI,2010
jean beausejour,1,2,0.5,CHI,2014
jorge valdivia,1,3,0.33,CHI,2014
mark gonzalez,1,4,0.25,CHI,2010
rodrigo millar,1,3,0.33,CHI,2010
jackson martinez,2,3,0.67,COL,2014
james rodriguez,6,5,1.2,COL,2014
juan guillermo cuadrado,1,5,0.2,COL,2014
juan guillermo cuadrado,1,4,0.25,COL,2018
juan fernando quintero,1,3,0.33,COL,2014
juan fernando quintero,1,4,0.25,COL,2018
pablo armero,1,5,0.2,COL,2014
radamel falcao,1,4,0.25,COL,2018
teofilo gutierrez,1,4,0.25,COL,2014
yerry mina,3,3,1,COL,2018
bryan ruiz,2,5,0.4,CRC,2014
joel campbell,1,5,0.2,CRC,2014
kendall waston,1,1,1,CRC,2018
marco ureña,1,4,0.25,CRC,2014
oscar duarte,1,4,0.25,CRC,2014
andrej kramarić,1,7,0.14,CRO,2018
ante rebić,1,6,0.17,CRO,2018
domagoj vida,1,6,0.17,CRO,2018
ivan perišić,2,3,0.67,CRO,2014
ivan perišić,3,7,0.43,CRO,2018
ivan rakitić,1,7,0.14,CRO,2018
ivica olić,1,3,0.33,CRO,2014
luka modrić,2,7,0.29,CRO,2018
mario mandžukić,2,2,1,CRO,2014
mario mandžukić,3,6,0.5,CRO,2018
milan badelj,1,3,0.33,CRO,2018
christian eriksen,1,4,0.25,DEN,2018
dennis rommedahl,1,3,0.33,DEN,2010
jon dahl tomasson,1,2,0.5,DEN,2010
mathias jørgensen,1,3,0.33,DEN,2018
nicklas bendtner,1,3,0.33,DEN,2010
yussuf poulsen,1,3,0.33,DEN,2018
enner valencia,3,3,1,ECU,2014
mohamed salah,2,2,1,EGT,2018
daniel sturridge,1,3,0.33,ENG,2014
dele alli,1,5,0.2,ENG,2018
harry kane,6,6,1,ENG,2018
harry maguire,1,7,0.14,ENG,2018
jermain defoe,1,3,0.33,ENG,2010
jesse lingard,1,6,0.17,ENG,2018
john stones,2,7,0.29,ENG,2018
kieran trippier,1,6,0.17,ENG,2018
matthew upson,1,2,0.5,ENG,2010
steven gerrard,1,4,0.25,ENG,2010
wayne rooney,1,3,0.33,ENG,2014
antoine griezmann,4,7,0.57,FRA,2018
benjamin pavard,1,6,0.17,FRA,2018
blaise matuidi,1,5,0.2,FRA,2014
florent malouda,1,3,0.33,FRA,2010
karim benzema,3,5,0.6,FRA,2014
kylian mbappe,4,7,0.57,FRA,2018
mathieu valbuena,1,4,0.25,FRA,2014
moussa sissoko,1,4,0.25,FRA,2014
olivier giroud,1,5,0.2,FRA,2014
paul pogba,1,5,0.2,FRA,2014
paul pogba,1,6,0.17,FRA,2018
raphael varane,1,7,0.14,FRA,2018
samuel umtiti,1,6,0.17,FRA,2018
andre schurrle,3,6,0.5,GER,2014
arne friedrich,1,7,0.14,GER,2010
cacau,1,4,0.25,GER,2010
lukas podolski,2,6,0.33,GER,2010
marcell jansen,1,4,0.25,GER,2010
marco reus,1,3,0.33,GER,2018
mario gotze,2,6,0.33,GER,2014
mats hummels,2,6,0.33,GER,2014
mesut ozil,1,7,0.14,GER,2010
mesut ozil,1,7,0.14,GER,2014
miroslav klose,4,5,0.8,GER,2010
miroslav klose,2,5,0.4,GER,2014
sami khedira,1,7,0.14,GER,2010
sami khedira,1,5,0.2,GER,2014
thomas muller,5,6,0.83,GER,2010
