3,EGT,mohamed salah,73,               ,,560
5,EGT,mohamed salah,22,               ,,560
84,ENG,daniel sturridge,37,               ,,576
59,ENG,dele alli,59,               ,,581
40,ENG,felipe baloy,78,               ,,
38,ENG,harry kane,11,               ,,592
38,ENG,harry kane,90,1,,592
40,ENG,harry kane,22,               ,,592
40,ENG,harry kane,45,1,,592
40,ENG,harry kane,62,               ,,592
56,ENG,harry kane,57,               ,,592
59,ENG,harry maguire,30,               ,,593
145,ENG,jermain defoe,23,               ,,599
40,ENG,jesse lingard,36,               ,,600
40,ENG,john stones,8,               ,,603
40,ENG,john stones,40,               ,,603
62,ENG,kieran trippier,5,               ,,607
179,ENG,matt upson,37,               ,,
141,ENG,steven gerrard,4,               ,,628
85,ENG,wayne rooney,75,               ,,630
13,FRA,antoine griezmann,58,               ,,637
49,FRA,antoine griezmann,13,               ,,637
57,FRA,antoine griezmann,61,               ,,637
64,FRA,antoine griezmann,38,               ,,637
13,FRA,aziz behich,81,               ,,
49,FRA,benjamin pavard,57,               ,,640
91,FRA,blaise matuidi,18,               ,,641
133,FRA,florent malouda,70,               ,,648
90,FRA,karim benzema,45,               ,,655
90,FRA,karim benzema,72,               ,,655
91,FRA,karim benzema,67,               ,,655
16,FRA,kylian mbappe,34,               ,,656
49,FRA,kylian mbappe,64,               ,,656
49,FRA,kylian mbappe,68,               ,,656
64,FRA,kylian mbappe,65,               ,,656
91,FRA,mathieu valbuena,40,               ,,664
91,FRA,moussa sissoko,73,               ,,667
91,FRA,olivier giroud,17,               ,,671
64,FRA,paul pogba,59,               ,,674
118,FRA,paul pogba,79,               ,,674
57,FRA,raphael varane 40,               ,               ,,
61,FRA,samuel umtiti,51,               ,,679
117,GER,abdelmoumene djabou,120,4,,
187,GER,ame friedrich,74,               ,,
117,GER,andre schurrle,92,               ,,690
125,GER,andre schurrle,69,               ,,690
125,GER,andre schurrle,79,               ,,690
148,GER,cacau,70,               ,,695
148,GER,lukas podolski,8,               ,,711
179,GER,lukas podolski,32,               ,,711
191,GER,marcell jansen,56,               ,,714
34,GER,marco reus,48,               ,,715
103,GER,mario gotze,51,               ,,717
128,GER,mario gotze,113,               ,,717
101,GER,mats hummels,32,               ,,720
121,GER,mats hummels,13,               ,,720
117,GER,mesut ozil,120,2,,722
152,GER,mesut ozil,60,               ,,722
103,GER,miroslav klose,71,               ,,723
125,GER,miroslav klose,23,               ,,723
148,GER,miroslav klose,26,               ,,723
179,GER,miroslav klose,20,               ,,723
187,GER,miroslav klose,68,               ,,723
187,GER,miroslav klose,89,               ,,723
125,GER,sami khedira,29,               ,,730
191,GER,sami khedira,82,               ,,730
101,GER,thomas muller,12,               ,,735
101,GER,thomas muller,45,1,,735
101,GER,thomas muller,78,               ,,735
106,GER,thomas muller,55,               ,,735
125,GER,thomas muller,11,               ,,735
148,GER,thomas muller,68,               ,,735
179,GER,thomas muller,67,               ,,735
179,GER,thomas muller,70,               ,,735
187,GER,thomas muller,3,               ,,735
191,GER,thomas muller,19,               ,,735
34,GER,toni kroos,90,5,,738
125,GER,toni kroos,24,               ,,738
125,GER,toni kroos,26,               ,,738
102,GHA,andre ayew,82,               ,,743
103,GHA,andre ayew,54,               ,,743
103,GHA,asamoah gyan,63,               ,,745
105,GHA,asamoah gyan,57,               ,,745
147,GHA,asamoah gyan,85,               ,,745
150,GHA,asamoah gyan,25,               ,,745
178,GHA,asamoah gyan,93,               ,,745
105,GHA,john boye,31,               ,ag,757
178,GHA,kevin prince boateng,5,               ,,762
81,GRE,andreas samaris,42,               ,,782
138,GRE,dimitrios salpingidis,44,               ,,
81,GRE,georgios samaras,90,3,,790
116,GRE,sokratis papastathopoulos,90,1,,812
138,GRE,vasileios torosidis,               ,               ,,
92,HON,carlo costly,31,               ,,824
90,HON,noel valladares,48,               ,AG,848
7,IRA,aziz bouhaddouez,90,5,AG,
99,IRA,reza ghoochannejhad,82,               ,,892
19,ISL,alfred finnbogason,23,               ,,
23,ISL,gylfi sigurdsson,76,               ,,
164,ITA,antonio di natale,81,               ,,932
84,ITA,claudio marchisio,35,               ,,936
159,ITA,daniele de rossi,63,               ,,937
