#,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion,id
24,rabah saadane,DT,               ,               ,,2010,ALG,30
11,rafik djebbour,DEL,26,15,aek atenas,2010,ALG,31
5,rafik halliche,DEF,23,16,nacional madeira,2010,ALG,32
5,rafik halliche,DEF,27,29,academica,2014,ALG,32
10,rafik saifi,DEL,35,59,istres,2010,ALG,33
23,rais m'bolhi,POR,24,1,slavia sofia,2010,ALG,34
23,rais m'bolhi,POR,28,28,cska sofia,2014,ALG,34
21,riyad mahrez,DEL,23,2,leicester city,2014,ALG,35
7,ryad boudebouz,CEN,20,1,sochaux,2010,ALG,36
19,saphir taider,CEN,22,11,inter de milan,2014,ALG,37
10,sofiane feghouli,DEL,24,19,valencia,2014,ALG,38
24,vahid halilhodžić,DT,               ,               ,,2014,ALG,39
11,yacine brahimi,CEN,24,6,granada,2014,ALG,40
6,yazid mansouri,CEN,32,66,fc lorient,2010,ALG,41
15,abdullah al-khaibari,MED,21,5,al-shabab,2018,ARA,42
1,abdullah al-mayouf,POR,31,11,al-hilal,2018,ARA,43
14,abdullah otayf,MED,25,16,al-hilal,2018,ARA,44
11,abdulmalek al-khaibri,MED,32,36,al-hilal,2018,ARA,45
4,ali al-bulaihi,DEF,28,4,al-hilal,2018,ARA,46
19,fahad al-muwallad,DEL,23,45,levante,2018,ARA,47
9,hattan bahebri,MED,25,5,al-shabab,2018,ARA,48
16,housain al-mogahwi,MED,30,18,al-ahli,2018,ARA,49
24,juan antonio pizzi,DT,               ,               ,,2018,ARA,50
2,mansoor al-harbi,DEF,30,40,al-ahli,2018,ARA,51
12,mohamed kanno,MED,23,6,al-hilal,2018,ARA,52
10,mohammad al-sahlawi,DEL,31,40,al-nassr,2018,ARA,53
6,mohammed al-breik,DEF,25,11,al-hilal,2018,ARA,54
22,mohammed al-owais,POR,26,6,al-ahli,2018,ARA,55
23,motaz hawsawi,DEF,26,17,al-ahli,2018,ARA,56
20,muhannad assiri,DEL,31,18,al-ahli,2018,ARA,57
5,omar hawsawi,DEF,32,42,al-nassr,2018,ARA,58
3,osama hawsawi,DEF,34,135,al-hilal,2018,ARA,59
18,salem al-dawsari,MED,26,33,villarreal,2018,ARA,60
7,salman al-faraj,MED,28,43,al-hilal,2018,ARA,61
17,taisir al-jassim,MED,33,132,al-ahli,2018,ARA,62
8,yahya al-shehri,MED,27,57,leganes,2018,ARA,63
21,yasser al-mosailem,POR,34,32,al-ahli,2018,ARA,64
13,yasser al-shahrani,DEF,26,37,al-hilal,2018,ARA,65
12,agustin orion,POR,32,3,boca juniors,2014,ARG,66
24,alejandro sabella,DT,59,               ,,2014,ARG,67
7,angel di maria,MED,22,8,benfica,2010,ARG,68
11,angel di maria,MED,30,96,psg,2018,ARG,68
7,angel di maria,MED,26,40,real madrid,2014,ARG,68
12,ariel garce,DEF,30,4,colon,2010,ARG,69
13,augusto fernandez,MED,28,5,celta de vigo,2014,ARG,70
11,carlos tevez,DEL,26,54,manchester city,2010,ARG,71
3,clemente rodriguez,DEF,28,12,estudiantes de la plata,2010,ARG,72
4,cristian ansaldi,DEF,31,5,torino,2018,ARG,73
22,cristian pavon,MED,22,8,boca juniors,2018,ARG,74
24,diego maradona †,DT,               ,               ,,2010,ARG,75
19,diego milito,DEL,30,21,inter de milan,2010,ARG,76
1,diego pozo,POR,32,3,colon,2010,ARG,77
18,eduardo salvio,MED,28,11,benfica,2018,ARG,78
15,enzo perez,MED,32,25,river plate,2018,ARG,79
8,enzo perez,MED,28,6,benfica,2014,ARG,79
7,ever banega,MED,29,64,sevilla,2018,ARG,80
2,ezequiel garay,DEF,27,13,benfica,2014,ARG,81
22,ezequiel lavezzi,DEL,29,23,psg,2014,ARG,82
6,federico fazio,DEF,31,9,roma,2018,ARG,83
17,federico fernandez,DEF,25,19,napoli,2014,ARG,84
5,fernando gago,MED,28,45,boca juniors,2014,ARG,85
12,franco armani,POR,31,1,river plate,2018,ARG,86
6,gabriel heinze,DEF,32,64,olympique de marsella,2010,ARG,87
2,gabriel mercado,DEF,31,22,sevilla,2018,ARG,88
20,giovani lo celso,MED,22,5,psg,2018,ARG,89
9,gonzalo higuain,DEL,22,5,real madrid,2010,ARG,90
9,gonzalo higuain,DEL,30,75,juventus,2018,ARG,90
9,gonzalo higuain,DEL,26,34,napoli,2014,ARG,90
3,hugo campagnaro,DEF,33,9,inter de milan,2014,ARG,91
