#,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion,id
15,jean beausejour,CEN,30,60,wigan athletic,2014,CHI,349
15,jean beausejour,MED,26,27,america de mexico,2010,CHI,349
23,johnny herrera,POR,33,8,universidad de chile,2014,CHI,350
10,jorge valdivia,CEN,30,57,palmeiras,2014,CHI,351
10,jorge valdivia,MED,26,39,al ain,2010,CHI,351
19,jose pedro fuenzalida,CEN,29,23,colo-colo,2014,CHI,352
13,jose rojas,DEF,30,19,universidad de chile,2014,CHI,353
23,luis marin,POR,27,3,union española,2010,CHI,354
24,marcelo bielsa,DT,               ,               ,,2014,CHI,355
24,marcelo bielsa,DT,               ,               ,,2010,CHI,355
21,marcelo diaz,CEN,27,21,basel,2014,CHI,356
13,marco estrada,MED,27,22,universidad de chile,2010,CHI,357
11,mark gonzalez,DEL,25,39,cska moscu,2010,CHI,358
14,matias fernandez,MED,24,37,sporting lisboa,2010,CHI,359
4,mauricio isla,DEF,26,47,juventus,2014,CHI,360
4,mauricio isla,DEF,21,12,udinese,2010,CHI,360
9,mauricio pinilla,DEL,30,26,cagliari,2014,CHI,361
12,miguel pinto,POR,26,14,universidad de chile,2010,CHI,362
3,miiko albornoz,DEF,23,2,malmo,2014,CHI,363
5,pablo contreras,DEF,31,51,paok salonica fc,2010,CHI,364
20,rodrigo millar,MED,28,21,colo-colo,2010,CHI,365
21,rodrigo tello,MED,30,34,besiktas jk,2010,CHI,366
3,waldo ponce,DEF,27,25,universidad catolica,2010,CHI,367
8,abel aguilar,MED,29,49,toulouse,2014,COL,368
8,abel aguilar,CEN,33,70,deportivo cali,2018,COL,368
19,adrian ramos,DEL,28,26,hertha berlin,2014,COL,369
15,alexander mejia,MED,25,8,atletico nacional,2014,COL,370
12,camilo vargas,POR,25,0,santa fe,2014,COL,371
12,camilo vargas,POR,29,5,deportivo cali,2018,COL,371
18,camilo zuñiga,DEF,28,50,napoli,2014,COL,372
17,carlos bacca,DEL,27,11,sevilla,2014,COL,373
7,carlos bacca,DEL,31,44,villarreal,2018,COL,373
5,carlos carbonero,MED,23,1,river plate,2014,COL,374
6,carlos sanchez,MED,28,44,elche,2014,COL,375
6,carlos sanchez,CEN,32,84,espanyol,2018,COL,375
23,carlos valdes,DEF,29,14,san lorenzo,2014,COL,376
2,cristian zapata,DEF,27,24,milan,2014,COL,377
2,cristian zapata,DEF,31,55,milan,2018,COL,377
1,david ospina,POR,25,44,niza,2014,COL,378
1,david ospina,POR,29,85,arsenal,2018,COL,378
23,davinson sanchez,DEF,22,8,tottenham hotspur,2018,COL,379
16,eder alvarez balanta,DEF,21,3,river plate,2014,COL,380
18,farid diaz,DEF,34,13,club olimpia,2018,COL,381
22,faryd mondragon,POR,42,50,deportivo cali,2014,COL,382
13,freddy guarin,MED,27,49,inter de milan,2014,COL,383
21,jackson martinez,DEL,27,27,porto,2014,COL,384
10,james rodriguez,MED,22,22,monaco,2014,COL,385
10,james rodriguez,CEN,26,62,bayern munich,2018,COL,385
16,jefferson lerma,CEN,23,4,levante,2018,COL,386
17,johan mojica,DEF,25,3,girona,2018,COL,387
22,jose fernando cuadrado,POR,32,1,once caldas,2018,COL,388
21,jose izquierdo,DEL,25,4,brighton & hove albion,2018,COL,389
24,jose pekerman,DT,               ,               ,,,COL,390
20,juan fernando quintero,MED,21,1,porto,2014,COL,391
20,juan fernando quintero,CEN,25,14,river plate,2018,COL,391
11,juan guillermo cuadrado,MED,26,26,fiorentina,2014,COL,392
11,juan guillermo cuadrado,CEN,29,69,juventus,2018,COL,392
14,luis muriel,DEL,27,18,sevilla,2018,COL,393
3,mario alberto yepes,DEF,38,98,atalanta,2014,COL,394
15,mateus uribe,CEN,27,7,club america,2018,COL,395
19,miguel borja,DEL,25,6,palmeiras,2018,COL,396
3,oscar murillo,DEF,30,12,pachuca,2018,COL,397
7,pablo armero,DEF,27,53,west ham united,2014,COL,398
9,radamel falcao,DEL,32,72,a.s.monaco,2018,COL,399
4,santiago arias,DEF,22,6,psv eindhoven,2014,COL,400
4,santiago arias,DEF,26,40,psv eindhoven,2018,COL,400
9,teofilo gutierrez,DEL,29,30,river plate,2014,COL,401
14,victor ibarbo,MED,24,9,cagliari,2014,COL,402
5,wilmar barrios,CEN,24,10,boca juniors,2018,COL,403
13,yerry mina,DEF,23,11,barcelona,2018,COL,404
8,bryan oviedo,DEF,28,43,sunderland,2018,CRC,405
10,bryan ruiz,DEL,29,               ,psv eindhoven,2014,CRC,406
10,bryan ruiz,MED,32,109,sporting de lisboa,2018,CRC,406
5,celso borges,CEN,26,               ,aik,2014,CRC,407
5,celso borges,MED,30,112,deportivo la coruña,2018,CRC,407
7,christian bolaños,CEN,30,               ,copenhague,2014,CRC,408
7,christian bolaños,MED,34,80,deportivo saprissa,2018,CRC,408
16,cristian gamboa,DEF,24,               ,rosenborg ballklub,2014,CRC,409
16,cristian gamboa,DEF,28,67,celtic,2018,CRC,409
23,daniel cambronero,POR,26,               ,herediano,2014,CRC,410
9,daniel colindres,MED,33,11,deportivo saprissa,2018,CRC,411
8,dave myrie1,DEF,26,               ,herediano,2014,CRC,412
20,david guzman,MED,28,42,portland timbers,2018,CRC,413
20,diego calvo,CEN,23,               ,vålerenga,2014,CRC,414
15,francisco calvo,DEF,25,37,minnesota united,2018,CRC,415
3,giancarlo gonzalez,DEF,26,               ,columbus crew,2014,CRC,416
3,giancarlo gonzalez,DEF,30,69,bologna,2018,CRC,416
4,ian smith,DEF,20,3,ifk norrkoping,2018,CRC,417
9,joel campbell,DEL,22,               ,olympiacos,2014,CRC,418
12,joel campbell,DEL,25,76,real betis,2018,CRC,418
11,johan venegas,DEL,29,46,deportivo saprissa,2018,CRC,419
2,johnny acosta,DEF,30,               ,alajuelense,2014,CRC,420
2,johnny acosta,DEF,34,68,aguilas doradas,2018,CRC,420
24,jorge luis pinto,DT,               ,               ,,2014,CRC,421
22,jose miguel cubero,CEN,27,               ,herediano,2014,CRC,422
15,junior diaz,DEF,30,               ,maguncia 05,2014,CRC,423
19,kendall waston,DEF,30,26,vancouver whitecaps,2018,CRC,424
22,kenner gutierrez,DEF,29,9,liga deportiva alajuelense,2018,CRC,425
1,keylor navas,POR,27,               ,levante,2014,CRC,426
1,keylor navas,POR,31,80,real madrid,2018,CRC,426
23,leonel moreira,POR,29,9,herediano,2018,CRC,427
21,marco ureña,DEL,24,               ,kuban krasnodar,2014,CRC,428
21,marco ureña,DEL,28,63,los angeles fc,2018,CRC,428
11,michael barrantes,CEN,30,               ,aalesund,2014,CRC,429
4,michael umaña,DEF,31,               ,deportivo saprissa,2014,CRC,430
6,oscar duarte,DEF,25,               ,club brujas,2014,CRC,431
6,oscar duarte,DEF,29,38,español,2018,CRC,431
13,oscar esteban granados,CEN,22,               ,herediano,2014,CRC,432
24,oscar ramirez,DT,               ,               ,,2018,CRC,433
18,patrick pemberton,POR,32,               ,alajuelense,2014,CRC,434
18,patrick pemberton,POR,36,39,liga deportiva alajuelense,2018,CRC,434
14,randall azofeifa,MED,33,57,herediano,2018,CRC,435
14,randall brenes,DEL,30,               ,cartagines,2014,CRC,436
13,rodney wallace,MED,29,30,new york city,2018,CRC,437
19,roy miller,DEF,29,               ,new york red bulls,2014,CRC,438
12,waylon francis,DEF,23,               ,columbus crew,2014,CRC,439
17,yeltsin tejeda,CEN,22,               ,deportivo saprissa,2014,CRC,440
17,yeltsin tejeda,MED,26,50,lausanne-sport,2018,CRC,440
9,andrej kramarić,DEL,26,31,tsg hoffenheim,2018,CRO,441
16,ante rebić,DEL,20,5,fiorentina,2014,CRO,442
18,ante rebić,DEL,24,16,eintracht frankfurt,2018,CRO,442
3,danijel pranjić,DEF,32,50,panathinaikos,2014,CRO,443
23,danijel subašić,POR,29,6,monaco,2014,CRO,444
23,danijel subašić,POR,33,38,as monaco,2018,CRO,444
11,darijo srna,DEF,32,113,shakhtar donetsk,2014,CRO,445
6,dejan lovren,DEF,24,25,southampton,2014,CRO,446
6,dejan lovren,DEF,28,39,liverpool,2018,CRO,446
21,domagoj vida,DEF,25,23,dinamo kiev,2014,CRO,447
21,domagoj vida,DEF,29,59,beşiktaş,2018,CRO,447
1,dominik livaković,POR,23,1,dinamo zagreb,2018,CRO,448
15,duje ćaleta-car,DEF,21,1,red bull salzburg,2018,CRO,449
22,eduardo,DEL,31,63,shakhtar donetsk,2014,CRO,450
14,filip bradarić,MED,26,4,hnk rijeka,2018,CRO,451
13,gordon schildenfeld,DEF,29,21,panathinaikos,2014,CRO,452
4,ivan perišić,CEN,25,29,wolfsburgo,2014,CRO,453
4,ivan perišić,DEL,29,66,inter de milan,2018,CRO,453
7,ivan rakitić,CEN,26,62,barcelona,2014,CRO,454
7,ivan rakitić,MED,30,92,fc barcelona,2018,CRO,454
3,ivan strinić,DEF,30,43,sampdoria,2018,CRO,455
18,ivica olić,DEL,34,92,wolfsburgo,2014,CRO,456
22,josip pivarić,DEF,29,19,dinamo de kiev,2018,CRO,457
12,lovre kalinić,POR,28,11,kaa gent,2018,CRO,458
10,luka modrić,CEN,28,75,real madrid,2014,CRO,459
10,luka modrić,MED,32,106,real madrid,2018,CRO,459
14,marcelo brozović,CEN,21,1,dinamo zagreb,2014,CRO,460
11,marcelo brozović,MED,25,35,inter de milan,2018,CRO,460
17,mario mandžukić,DEL,28,50,bayern munich,2014,CRO,461
17,mario mandžukić,DEL,32,83,juventus,2018,CRO,461
20,marko pjaca,DEL,23,16,fc schalke 04,2018,CRO,462
20,mateo kovačić,CEN,20,10,inter de milan,2014,CRO,463
8,mateo kovačić,MED,24,41,real madrid,2018,CRO,463
15,milan badelj,CEN,25,9,hamburgo,2014,CRO,464
19,milan badelj,MED,29,38,fiorentina,2018,CRO,464
9,nikica jelavić,DEL,28,33,hull city,2014,CRO,465
24,niko kovač,DT,               ,               ,,2014,CRO,466
16,nikola kalinić,DEL,30,42,ac milan,2018,CRO,467
8,ognjen vukojević,CEN,30,55,dinamo kiev,2014,CRO,468
12,oliver zelenika,POR,21,0,lokomotiva,2014,CRO,469
19,sammir,CEN,27,6,getafe,2014,CRO,470
1,stipe pletikosa,POR,35,111,rostov,2014,CRO,471
13,tin jedvaj,DEF,22,12,bayer 04 leverkusen,2018,CRO,472
5,vedran ćorluka,DEF,28,72,lokomotiv moscu,2014,CRO,473
5,vedran ćorluka,DEF,32,99,lokomotiv moscu,2018,CRO,473
24,zlatko dalić,DT,               ,               ,,2018,CRO,474
2,šime vrsaljko,DEF,22,7,genoa,2014,CRO,475
2,šime vrsaljko,DEF,26,35,atletico de madrid,2018,CRO,475
6,andreas christensen,DEF,22,16,chelsea,2018,DEN,476
21,andreas cornelius,DEL,25,18,atalanta,2018,DEN,477
21,christian eriksen,MED,18,3,ajax amsterdam,2010,DEN,478
10,christian eriksen,MED,26,78,tottenham hotspur,2018,DEN,478
2,christian poulsen,MED,30,73,juventus,2010,DEN,479
4,daniel agger,DEF,25,31,liverpool fc,2010,DEN,480
7,daniel jensen,MED,30,48,werder bremen,2010,DEN,481
19,dennis rommedahl,DEL,31,95,ajax amsterdam,2010,DEN,482
22,frederik rønnow,POR,25,6,brøndby,2018,DEN,483
14,henrik dalsgaard,DEF,28,11,brentford,2018,DEN,484
14,jakob poulsen,MED,26,12,agf aarhus,2010,DEN,485
3,jannik vestergaard,DEF,25,16,borussia monchengladbach,2018,DEN,486
17,jens stryger larsen,DEF,27,13,udinese,2018,DEN,487
22,jesper christiansen,POR,32,11,fc copenhague,2010,DEN,488
8,jesper grønkjær,DEL,32,77,fc copenhague,2010,DEN,489
9,jon dahl tomasson,DEL,33,109,feyenoord,2010,DEN,490
5,jonas knudsen,DEF,25,3,ipswich town,2018,DEN,491
16,jonas lossl,POR,29,1,huddersfield town,2018,DEN,492
12,kasper dolberg,DEL,20,6,ajax,2018,DEN,493
1,kasper schmeichel,POR,31,35,leicester city,2018,DEN,494
6,lars jacobsen,DEF,30,30,blackburn rovers,2010,DEN,495
19,lasse schone,MED,32,36,ajax,2018,DEN,496
18,lukas lerager,MED,24,4,girondins de burdeos,2018,DEN,497
11,martin braithwaite,DEL,27,20,girondins de burdeos,2018,DEN,498
10,martin jorgensen,DEL,30,146,acf fiorentina,2010,DEN,499
13,mathias jørgensen,DEF,28,12,huddersfield town,2018,DEN,500
2,michael krohn-dehli,MED,35,59,deportivo la coruña,2018,DEN,501
17,mikkel beckmann,DEL,26,4,randers fc,2010,DEN,502
24,morten olsen,DT,               ,               ,,,DEN,503
11,nicklas bendtner,DEL,22,32,arsenal fc,2010,DEN,504
9,nicolai jørgensen,DEL,27,31,feyenoord,2018,DEN,505
23,patrick mtiliga,DEF,29,3,malaga cf,2010,DEN,506
13,per krøldrup,DEF,30,29,acf fiorentina,2010,DEN,507
23,pione sisto,DEL,23,14,celta de vigo,2018,DEN,508
3,simon kjær,DEF,21,9,palermo,2010,DEN,509
4,simon kjær,DEF,29,78,sevilla,2018,DEN,509
15,simon poulsen,DEF,26,4,az alkmaar,2010,DEN,510
16,stephan andersen,POR,28,6,brøndby if,2010,DEN,511
18,søren larsen,DEL,28,18,duisburgo,2010,DEN,512
8,thomas delaney,MED,26,27,werder bremen,2018,DEN,513
20,thomas enevoldsen,MED,22,5,fc groningen,2010,DEN,514
12,thomas kahlenberg,MED,27,31,vfl wolfsburgo,2010,DEN,515
1,thomas sørensen,POR,33,86,stoke city,2010,DEN,516
15,viktor fischer,DEL,24,19,copenhague,2018,DEN,517
5,william kvist,MED,25,13,fc copenhague,2010,DEN,518
7,william kvist,MED,33,80,copenhague,2018,DEN,518
20,yussuf poulsen,DEL,23,28,rb leipzig,2018,DEN,519
24,åge hareide,DT,               ,               ,,2018,DEN,520
12,adrian bone,POR,25,3,el nacional,2014,ECU,521
22,alexander dominguez,POR,27,18,ldu quito,2014,ECU,522
16,antonio valencia,CEN,28,71,manchester united,2014,ECU,523
23,carlos gruezo,CEN,19,3,stuttgart,2014,ECU,524
6,christian noboa,CEN,29,42,dinamo moscu,2014,ECU,525
8,edison mendez,CEN,35,111,independiente santa fe,2014,ECU,526
13,enner valencia,DEL,24,10,west ham united,2014,ECU,527
11,felipe caicedo,DEL,25,50,espanyol,2014,ECU,528
20,fidel martinez,CEN,24,8,tijuana,2014,ECU,529
3,frickson erazo,DEF,26,37,flamengo,2014,ECU,530
21,gabriel achilier,DEF,29,23,emelec,2014,ECU,531
17,jaime ayovi,DEL,26,30,godoy cruz,2014,ECU,532
7,jefferson montero,CEN,24,40,swansea city,2014,ECU,533
9,joao rojas,DEL,24,30,cruz azul,2014,ECU,534
2,jorge guagua,DEF,32,59,emelec,2014,ECU,535
4,juan carlos paredes,DEF,26,38,watford,2014,ECU,536
19,luis fernando saritama,CEN,30,49,barcelona sc,2014,ECU,537
1,maximo banguera,POR,28,25,barcelona,2014,ECU,538
15,michael arroyo,CEN,27,20,atlante,2014,ECU,539
18,oscar bagui,DEF,31,21,emelec,2014,ECU,540
14,oswaldo minda1,CEN,30,18,chivas usa,2014,ECU,541
24,reinaldo rueda,DT,               ,               ,,2014,ECU,542
5,renato ibarra,CEN,23,18,vitesse,2014,ECU,543
10,walter ayovi,DEF,34,90,pachuca,2014,ECU,544
19,abdallah said,MED,32,36,kups kuopio,2018,EGT,545
3,ahmed al-muhammadi,DEF,30,78,aston villa,2018,EGT,546
7,ahmed fathy,DEF,33,126,al-ahly,2018,EGT,547
6,ahmed hegazy,DEF,27,45,west bromwich albion,2018,EGT,548
2,ali gabr,DEF,29,21,west bromwich albion,2018,EGT,549
22,amr warda,DEL,24,16,atromitos,2018,EGT,550
12,ayman ashraf,DEF,27,4,al-ahly,2018,EGT,551
1,essam el-hadary,POR,45,158,al-taawoun,2018,EGT,552
24,hector cuper,DT,               ,               ,,,EGT,553
15,mahmoud hamdy,DEF,23,0,zamalek,2018,EGT,554
11,mahmoud kahraba,DEL,24,19,al-ittihad,2018,EGT,555
9,marwan mohsen,DEL,29,24,al-ahly,2018,EGT,556
13,mohamed abdel-shafy,DEF,32,51,al-fateh,2018,EGT,557
23,mohamed el-shenawy,POR,29,3,al-ahly,2018,EGT,558
17,mohamed elneny,MED,25,61,arsenal,2018,EGT,559
10,mohamed salah,DEL,25,57,liverpool,2018,EGT,560
4,omar gaber,MED,26,24,los angeles fc,2018,EGT,561
14,ramadan sobhi,DEL,21,23,stoke city,2018,EGT,562
20,saad samir,DEF,29,11,al-ahly,2018,EGT,563
5,sam morsy,MED,25,5,wigan athletic,2018,EGT,564
16,sherif ekramy,POR,34,22,al-ahly,2018,EGT,565
18,shikabala,DEL,32,29,al-raed,2018,EGT,566
8,tarek hamed,MED,29,21,zamalek,2018,EGT,567
21,trezeguet,MED,23,24,kasımpaşa,2018,EGT,568
7,aaron lennon,MED,23,17,tottenham hotspur,2010,ENG,569
20,adam lallana,CEN,26,               ,southampton,2014,ENG,570
15,alex oxlade-chamberlain,CEN,20,               ,arsenal,2014,ENG,571
3,ashley cole,DEF,29,78,chelsea,2010,ENG,572
18,ashley young,DEF,32,34,manchester united,2018,ENG,573
13,ben foster,POR,31,               ,west bromwich albion,2014,ENG,574
12,chris smalling,DEF,24,               ,manchester united,2014,ENG,575
9,daniel sturridge,DEL,24,               ,liverpool,2014,ENG,576
11,daniel welbeck,DEL,23,               ,manchester united,2014,ENG,577
3,danny rose,DEF,27,18,tottenham hotspur,2018,ENG,578
14,danny welbeck,DEL,27,39,arsenal,2018,ENG,579
1,david james,POR,39,50,portsmouth,2010,ENG,580
20,dele alli,MED,22,25,tottenham hotspur,2018,ENG,581
21,emile heskey,DEL,32,58,aston villa,2010,ENG,582
4,eric dier,MED,24,26,tottenham hotspur,2018,ENG,583
17,fabian delph,DEF,28,11,manchester city,2018,ENG,584
24,fabio capello,DT,               ,               ,,2010,ENG,585
8,frank lampard,CEN,35,               ,chelsea,2014,ENG,586
8,frank lampard,MED,31,78,chelsea,2010,ENG,586
22,fraser forster,POR,26,               ,celtic,2014,ENG,587
14,gareth barry,MED,29,36,manchester city,2010,ENG,588
24,gareth southgate,DT,               ,               ,,2018,ENG,589
5,gary cahill,DEF,28,               ,chelsea,2014,ENG,590
15,gary cahill,DEF,27,60,chelsea,2018,ENG,590
2,glen johnson,DEF,29,               ,liverpool,2014,ENG,591
2,glen johnson,DEF,25,22,liverpool,2010,ENG,591
9,harry kane,DEL,24,24,tottenham hotspur,2018,ENG,592
6,harry maguire,DEF,25,5,leicester city,2018,ENG,593
13,jack butland,POR,25,8,stoke city,2018,ENG,594
7,jack wilshere,CEN,22,               ,arsenal,2014,ENG,595
17,james milner,CEN,28,               ,manchester city,2014,ENG,596
16,james milner,MED,24,8,aston villa,2010,ENG,596
18,jamie carragher,DEF,32,36,liverpool,2010,ENG,597
11,jamie vardy,DEL,31,22,leicester city,2018,ENG,598
19,jermain defoe,DEL,27,39,tottenham hotspur,2010,ENG,599
7,jesse lingard,MED,25,12,manchester united,2018,ENG,600
11,joe cole,MED,28,54,chelsea,2010,ENG,601
1,joe hart,POR,27,               ,manchester city,2014,ENG,602
23,joe hart,POR,23,3,birmingham,2010,ENG,602
5,john stones,DEF,24,26,manchester city,2018,ENG,603
6,john terry,DEF,29,60,chelsea,2010,ENG,604
14,jordan henderson,CEN,23,               ,liverpool,2014,ENG,605
8,jordan henderson,MED,27,39,liverpool,2018,ENG,605
1,jordan pickford,POR,24,3,everton,2018,ENG,606
12,kieran trippier,DEF,27,26,tottenham hotspur,2018,ENG,607
2,kyle walker,DEF,28,35,manchester city,2018,ENG,608
20,ledley king,DEF,29,20,tottenham hotspur,2010,ENG,609
3,leighton baines,DEF,29,               ,everton,2014,ENG,610
23,luke shaw,DEF,18,               ,southampton,2014,ENG,611
19,marcus rashford,DEL,20,19,manchester united,2018,ENG,612
15,matthew upson,DEF,31,19,west ham united,2010,ENG,613
22,michael carrick,MED,28,22,manchester united,2010,ENG,614
5,michael dawson3​,DEF,26,0,tottenham hotspur,2010,ENG,615
23,nick pope,POR,33,1,burnley,2018,ENG,616
9,peter crouch,DEL,29,38,tottenham hotspur,2010,ENG,617
6,phil jagielka,DEF,31,               ,everton,2014,ENG,618
16,phil jones,DEF,22,               ,manchester united,2014,ENG,619
16,phil jones,DEF,26,25,manchester united,2018,ENG,619
19,raheem sterling,CEN,19,               ,liverpool,2014,ENG,620
10,raheem sterling,DEL,23,38,manchester city,2018,ENG,620
18,rickie lambert,DEL,32,               ,southampton,2014,ENG,621
12,robert green,POR,30,10,west ham united,2010,ENG,622
21,ross barkley,CEN,20,               ,everton,2014,ENG,623
24,roy hodgson,DT,               ,               ,,2014,ENG,624
21,ruben loftus-cheek,MED,22,4,chelsea,2018,ENG,625
17,shaun wright-phillips,MED,28,31,manchester city,2010,ENG,626
13,stephen warnock,DEF,28,1,aston villa,2010,ENG,627
4,steven gerrard,CEN,34,               ,liverpool,2014,ENG,628
4,steven gerrard,MED,30,80,liverpool,2010,ENG,628
22,trent alexander-arnold,DEF,19,1,liverpool,2018,ENG,629
10,wayne rooney,DEL,28,               ,manchester united,2014,ENG,630
10,wayne rooney,DEL,24,60,manchester united,2010,ENG,630
19,abou diaby,MED,24,5,arsenal,2010,FRA,631
13,adil rami,DEF,23,               ,olympique de marsella,2014,FRA,632
17,adil rami,DEF,32,35,olympique de marsella,2018,FRA,632
18,alou diarra,MED,28,25,girondins de burdeos,2010,FRA,633
23,alphonse areola,POR,25,0,paris saint-germain,2018,FRA,634
11,andre-pierre gignac,DEL,24,13,toulouse,2010,FRA,635
4,anthony reveillère,DEF,30,6,olympique de lyon,2010,FRA,636
11,antoine griezmann,DEL,23,               ,atletico de madrid,2014,FRA,637
7,antoine griezmann,DEL,27,54,atletico de madrid,2018,FRA,637
15,bacary sagna,DEF,31,               ,arsenal,2014,FRA,638
2,bacary sagna,DEF,27,20,arsenal,2010,FRA,638
22,benjamin mendy,DEF,23,7,manchester city,2018,FRA,639
2,benjamin pavard,DEF,22,6,vfb stuttgart,2018,FRA,640
14,blaise matuidi,CEN,27,               ,paris saint-germain,2014,FRA,641
14,blaise matuidi,MED,31,67,juventus,2018,FRA,641
23,cedric carrasso,POR,28,               ,girondins de burdeos,2010,FRA,642
12,corentin tolisso,MED,23,9,bayern de munich,2018,FRA,643
24,didier deschamps,DT,               ,               ,,,FRA,644
9,djibril cisse,DEL,28,39,panathinaikos,2010,FRA,645
19,djibril sidibe,DEF,25,17,monaco,2018,FRA,646
3,eric abidal,DEF,30,48,barcelona,2010,FRA,647
15,florent malouda,DEL,29,54,chelsea,2010,FRA,648
20,florian thauvin,DEL,25,4,olympique de marsella,2018,FRA,649
8,francis coquelin,CEN,29,               ,arsenal,2014,FRA,650
7,franck ribery,MED,27,45,bayern de munich,2010,FRA,651
22,gael clichy,DEF,24,4,arsenal,2010,FRA,652
1,hugo lloris,POR,27,               ,tottenham hotspur,2014,FRA,653
1,hugo lloris,POR,23,11,olympique de lyon,2010,FRA,653
1,hugo lloris,POR,31,98,tottenham hotspur,2018,FRA,653
14,jeremy menez,MED,23,12,as roma,2010,FRA,654
10,karim benzema,DEL,26,               ,real madrid,2014,FRA,655
10,kylian mbappe,DEL,19,15,paris saint-germain,2018,FRA,656
21,laurent koscielny,CEN,28,               ,arsenal,2014,FRA,657
20,loic remy,DEL,27,               ,newcastle united,2014,FRA,658
17,lucas digne,DEF,21,               ,as roma,2014,FRA,659
21,lucas hernandez,DEF,22,5,atletico de madrid,2018,FRA,660
5,mamadou sakho,DEF,24,               ,liverpool,2014,FRA,661
6,marc planus,DEF,27,1,girondins de burdeos,2010,FRA,662
2,mathieu debuchy,DEF,29,               ,arsenal,2014,FRA,663
20,mathieu valbuena,MED,25,1,olympique de marsella,2010,FRA,664
23,mickael landreau,POR,35,               ,bastia,2014,FRA,665
22,morgan schneiderlin 3,CEN,24,               ,southampton,2014,FRA,666
18,moussa sissoko,DEF,24,               ,newcastle united,2014,FRA,667
13,n'golo kante,MED,27,24,chelsea,2018,FRA,668
18,nabil fekir,DEL,24,12,olympique de lyon,2018,FRA,669
21,nicolas anelka,DEL,31,67,chelsea,2010,FRA,670
9,olivier giroud,DEL,27,               ,arsenal,2014,FRA,671
9,olivier giroud,DEL,31,74,chelsea,2018,FRA,671
11,ousmane dembele,DEL,21,12,barcelona,2018,FRA,672
3,patrice evra,DEF,33,               ,manchester united,2014,FRA,673
13,patrice evra,DEF,29,30,manchester united,2010,FRA,673
19,paul pogba,CEN,21,               ,juventus,2014,FRA,674
6,paul pogba,MED,25,54,manchester united,2018,FRA,674
3,presnel kimpembe,DEF,22,2,paris saint-germain,2018,FRA,675
4,raphael varane,DEF,22,               ,real madrid,2014,FRA,676
4,raphael varane,DEF,25,42,real madrid,2018,FRA,676
24,raymond domenech,DT,               ,               ,,,FRA,677
7,remy cabella2,DEL,24,               ,montpellier,2014,FRA,678
5,samuel umtiti,DEF,24,19,barcelona,2018,FRA,679
17,sebastien squillaci,DEF,29,20,sevilla,2010,FRA,680
10,sidney govou,DEL,30,46,olympique de lyon,2010,FRA,681
16,stephane ruffier 1,POR,27,               ,saint-etienne,2014,FRA,682
16,steve mandanda,POR,25,13,olympique de marsella,2010,FRA,683
16,steve mandanda,POR,33,27,olympique de marsella,2018,FRA,683
15,steven n'zonzi,MED,29,4,sevilla,2018,FRA,684
12,thierry henry,DEL,32,121,barcelona,2010,FRA,685
8,thomas lemar,DEL,22,12,monaco,2018,FRA,686
5,william gallas,DEF,32,81,arsenal,2010,FRA,687
12,yoann gourcuff,CEN,30,               ,olympique de lyon,2014,FRA,688
8,yoann gourcuff,MED,23,20,girondins de burdeos,2010,FRA,688
6,yohan cabaye,CEN,28,               ,paris saint-germain,2014,FRA,689
9,andre schurrle,CEN,23,33,chelsea,2014,GER,690
16,antonio rudiger,DEF,25,24,chelsea,2018,GER,691
3,arne friedrich,DEF,31,72,hertha berlin,2010,GER,692
7,bastian schweinsteiger,MED,25,74,bayern de munich,2010,GER,693
7,bastian schweinsteiger,CEN,29,102,bayern munich,2014,GER,693
4,benedikt howedes,DEF,26,21,schalke 04,2014,GER,694
19,cacau,DEL,29,8,stuttgart,2010,GER,695
23,christoph kramer,CEN,23,2,borussia monchengladbach,2014,GER,696
4,dennis aogo,DEF,23,2,hamburgo,2010,GER,697
15,erik durm,DEF,22,1,borussia dortmund,2014,GER,698
22,hans-jorg butt,POR,36,1,bayern de munich,2010,GER,699
14,holger badstuber,DEF,21,2,bayern de munich,2010,GER,700
21,i̇lkay gundoğan,MED,27,26,manchester city,2018,GER,701
20,jerome boateng,DEF,21,5,hamburgo,2010,GER,702
17,jerome boateng,DEF,29,71,bayern munich,2018,GER,702
20,jerome boateng,DEF,25,39,bayern munich,2014,GER,702
24,joachim low,DT,               ,               ,,2010,GER,703
24,joachim low,DT,               ,               ,,2018,GER,703
24,joachim low,DT,               ,               ,,2014,GER,703
3,jonas hector,DEF,28,38,1. fc colonia,2018,GER,704
18,joshua kimmich,DEF,23,29,bayern munich,2018,GER,705
20,julian brandt,MED,22,16,bayer 04 leverkusen,2018,GER,706
7,julian draxler,MED,24,44,paris saint-germain,2018,GER,707
14,julian draxler,CEN,20,11,schalke 04,2014,GER,707
2,kevin großkreutz,DEF,25,5,borussia dortmund,2014,GER,708
12,kevin trapp,POR,27,3,paris saint-germain,2018,GER,709
14,leon goretzka,MED,23,15,fc schalke 04,2018,GER,710
10,lukas podolski,DEL,25,73,koln,2010,GER,711
10,lukas podolski,CEN,29,114,arsenal,2014,GER,711
1,manuel neuer,POR,24,5,schalke 04,2010,GER,712
1,manuel neuer,POR,32,76,bayern munich,2018,GER,712
1,manuel neuer,POR,28,45,bayern munich,2014,GER,712
22,marc-andre ter stegen,POR,26,20,fc barcelona,2018,GER,713
2,marcell jansen,MED,24,31,hamburgo,2010,GER,714
