christian eriksen,1,4,0.2,DEN,2018,478
claudio marchisio,1,3,0.3,ITA,2014,936
clint dempsey,1,4,0.2,USA,2010,1867
clint dempsey,2,4,0.5,USA,2014,1867
cristian riveros,1,5,0.2,PAR,2010,1308
cristiano ronaldo,1,4,0.2,POR,2010,1386
cristiano ronaldo,1,3,0.3,POR,2014,1386
cristiano ronaldo,4,4,1,POR,2018,1386
cuauhtemoc blanco n. 1​,1,3,0.3,MEX,2010,1112
daley blind,1,7,0.1,NED,2014,1156
daniel sturridge,1,3,0.3,ENG,2014,576
daniele de rossi,1,3,0.3,ITA,2010,937
david luiz,2,7,0.3,BRA,2014,244
david villa,5,7,0.7,SPA,2010,1641
david villa,1,1,1,SPA,2014,1641
dele alli,1,5,0.2,ENG,2018,581
denis cheryshev,4,5,0.8,RUS,2018,1439
dennis rommedahl,1,3,0.3,DEN,2010,482
didier drogba,1,3,0.3,IVC,2010,975
diego costa,3,4,0.8,SPA,2018,1642
diego forlan,5,7,0.7,URU,2010,1822
diego godin,1,4,0.2,URU,2014,1823
dimitris salpingidis,1,2,0.5,GRE,2010,787
dirk kuyt,1,7,0.1,NED,2010,1159
divock origi,1,5,0.2,BEL,2014,185
domagoj vida,1,6,0.2,CRO,2018,447
dries mertens,1,5,0.2,BEL,2014,186
dries mertens,1,6,0.2,BEL,2018,186
dylan bronn,1,2,0.5,TNZ,2018,1795
eden hazard,3,6,0.5,BEL,2018,187
edin džeko,1,3,0.3,BOS,2014,217
edinson cavani,1,6,0.2,URU,2010,1827
edinson cavani,1,4,0.2,URU,2014,1827
edinson cavani,3,4,0.8,URU,2018,1827
eduardo vargas,1,4,0.2,CHI,2014,338
elano,2,2,1,BRA,2010,249
emil forsberg,1,5,0.2,SUE,2018,1721
enner valencia,3,3,1,ECU,2014,527
enrique vera,1,5,0.2,PAR,2010,1314
fabio quagliarella,1,1,1,ITA,2010,940
fakhreddine ben youssef,1,3,0.3,TNZ,2018,1797
felipe baloy,1,1,1,PAN,2018,1287
ferjani sassi,1,3,0.3,TNZ,2018,1799
fernandinho,1,5,0.2,BRA,2014,252
fernando torres,1,3,0.3,SPA,2014,1645
florent malouda,1,3,0.3,FRA,2010,648
fred,1,6,0.2,BRA,2014,254
gabriel heinze,1,4,0.2,ARG,2010,87
gabriel mercado,1,3,0.3,ARG,2018,88
gelson fernandes,1,3,0.3,SWZ,2010,1755
genki haraguchi,1,3,0.3,JAP,2018,1012
georginio wijnaldum,1,7,0.1,NED,2014,1162
georgios samaras,1,4,0.2,GRE,2014,790
gervinho,2,3,0.7,IVC,2014,980
giovani dos santos,1,4,0.2,MEX,2014,1119
giovanni van bronckhorst,1,7,0.1,NED,2010,1163
gonzalo higuain,4,4,1,ARG,2010,90
gonzalo higuain,1,7,0.1,ARG,2014,90
granit xhaka,1,4,0.2,SWZ,2014,1758
granit xhaka,1,4,0.2,SWZ,2018,1758
grzegorz krychowiak,1,3,0.3,POL,2018,1357
gylfi sigurðsson,1,3,0.3,ISL,2018,910
haris seferović,1,4,0.2,SWZ,2014,1760
harry kane,6,6,1,ENG,2018,592
harry maguire,1,7,0.1,ENG,2018,593
hirving lozano,1,4,0.2,MEX,2018,1124
hugo almeida,1,2,0.5,POR,2010,1397
